Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
17:45:00.000-04:00,18:00:00.000-04:00,16.453273760633163,,,,,,,,,21,,,,900000,,,
18:00:00.000-04:00,18:15:00.000-04:00,40.25781392474979,431.5269099457021,38.76895523071289,-90.3731460571289,38.76895523071289,-90.3731460571289,1.1157115667774582,1.1805499792099,0.7780497074127197,687,,,,481561,418439,,
18:15:00.000-04:00,18:30:00.000-04:00,53.10726342291366,35.9807080047374,38.76893615722656,-90.3729476928711,38.76893615722656,-90.3729476928711,1.209902048110962,1.209902048110962,1.209902048110962,146,,,,497023,107705,,295272
18:30:00.000-04:00,18:45:00.000-04:00,109.49999626391218,,38.769065856933594,-90.37288665771484,38.769065856933594,-90.37288665771484,,,,103,,,,,,,900000
18:45:00.000-04:00,19:00:00.000-04:00,44.15731574424878,,38.768924713134766,-90.3729476928711,38.768924713134766,-90.3729476928711,,,,12,,,,632031,,,267969
19:00:00.000-04:00,19:15:00.000-04:00,26.14007329245895,171.04776787757874,38.76885986328125,-90.3729476928711,38.7708740234375,-90.36920928955078,1.1594482579756793,1.1786199808120728,1.1476970911026,288,,,,401012,170243,,
19:15:00.000-04:00,19:30:00.000-04:00,16.453273450978426,,,,,,,,,,,,,,,,
19:30:00.000-04:00,19:45:00.000-04:00,35.29789982763846,93.14292168617249,38.751068115234375,-89.95258331298828,38.751155853271484,-89.95243835449219,0.4134744137157508,1.073662519454956,0.25060608983039856,167,,,,59399,331253,,
19:45:00.000-04:00,20:00:00.000-04:00,16.591741545617392,,38.75124740600586,-89.95248413085938,38.75129699707031,-89.95240783691406,,,,,,,,897566,2434,,
20:00:00.000-04:00,20:15:00.000-04:00,16.453273908793875,,38.75125503540039,-89.95252227783203,38.75141525268555,-89.952392578125,,,,97,,,,900000,,,
20:15:00.000-04:00,20:30:00.000-04:00,16.453273908793875,,38.751216888427734,-89.95247650146484,38.75145721435547,-89.9520263671875,,,,13,,,,900000,,,
