Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
17:30:00.000-04:00,17:45:00.000-04:00,16.50052342661975,,38.751197814941406,-89.952392578125,38.751502990722656,-89.9520034790039,1.2300000190734863,1.2400000095367432,1.2200000286102295,15,,,,,900000,
17:45:00.000-04:00,18:00:00.000-04:00,16.50052342661975,,38.751251220703125,-89.95243835449219,38.751251220703125,-89.95243835449219,,,,,,,,,900000,
18:00:00.000-04:00,18:15:00.000-04:00,23.544276737174297,19.612651705741882,38.751258850097656,-89.95256805419922,38.751373291015625,-89.9524154663086,0.31598159670829773,0.31598159670829773,0.31598159670829773,79,,,,,777105,122895
18:15:00.000-04:00,18:30:00.000-04:00,20.27680250931921,30.72648775577545,38.7513427734375,-89.95258331298828,38.7513427734375,-89.95258331298828,0.4909699112176895,0.6481738090515137,0.33376601338386536,115,,,,,834114,65886
18:30:00.000-04:00,18:45:00.000-04:00,16.500523564577644,,38.75123977661133,-89.95259094238281,38.75146484375,-89.95225524902344,,,,42,,,,,900000,
18:45:00.000-04:00,19:00:00.000-04:00,16.500523564577644,,38.751243591308594,-89.95249938964844,38.751312255859375,-89.95240020751953,,,,28,,,,,900000,
19:00:00.000-04:00,19:15:00.000-04:00,16.500523564577644,,38.75128173828125,-89.95237731933594,38.75128173828125,-89.95237731933594,,,,3,,,,,900000,
19:15:00.000-04:00,19:30:00.000-04:00,16.500523564577644,,,,,,,,,5,,,,,900000,
19:30:00.000-04:00,19:45:00.000-04:00,16.500523564577644,,38.75126266479492,-89.95249938964844,38.75132369995117,-89.95245361328125,,,,,,,,,900000,
19:45:00.000-04:00,20:00:00.000-04:00,16.500523564577644,,,,,,,,,,,,,,900000,
20:00:00.000-04:00,20:15:00.000-04:00,16.500523564577644,,38.75132369995117,-89.95252990722656,38.751380920410156,-89.95252227783203,,,,,,,,,900000,
20:15:00.000-04:00,20:30:00.000-04:00,16.500523564577644,,38.75127029418945,-89.95248413085938,38.75127029418945,-89.95248413085938,,,,,,,,,900000,
20:30:00.000-04:00,20:45:00.000-04:00,16.500523564577644,,38.75132369995117,-89.95231628417969,38.75148391723633,-89.9522476196289,,,,,,,,,900000,
20:45:00.000-04:00,21:00:00.000-04:00,18.644570986686347,21.573917388916016,38.751243591308594,-89.95248413085938,38.751251220703125,-89.95228576660156,0.5940293669700623,0.5940293669700623,0.5940293669700623,115,,,,,862592,37408
21:00:00.000-04:00,21:15:00.000-04:00,19.820793131546296,,38.75128173828125,-89.952392578125,38.75128173828125,-89.952392578125,,,,64,,,,,842070,57930
